dataset;date;Новостной идекс ЦБ, Россия
91084;01.11.2018;-0.298918076
91084;01.12.2018;-0.014599497
91084;01.01.2019;-0.177300789
91084;01.02.2019;-0.39038259
91084;01.03.2019;-0.016582936
91084;01.04.2019;0.154189998
91084;01.05.2019;0.137494056
91084;01.06.2019;0.185526979
91084;01.07.2019;-0.112383873
91084;01.08.2019;-0.266600472
91084;01.09.2019;-0.425530127
91084;01.10.2019;0.303820559
91084;01.11.2019;0.113629596
91084;01.12.2019;0.234380499
91084;01.01.2020;0.314847379
91084;01.02.2020;-0.005065133
91084;01.03.2020;-0.013883929
91084;01.04.2020;-1.40009461
91084;01.05.2020;-2.159193958
91084;01.06.2020;-2.593329415
91084;01.07.2020;-2.404199366
91084;01.08.2020;-1.802763871
91084;01.09.2020;-1.53896427699999
91084;01.10.2020;-0.94392439
91084;01.11.2020;-0.89227994
91084;01.12.2020;-0.306239578
91084;01.01.2021;-0.037475351
91084;01.02.2021;0.415527554
91084;01.03.2021;0.805707533
91084;01.04.2021;0.722062184
91084;01.05.2021;0.922148861
91084;01.06.2021;0.816343415999999
91084;01.07.2021;1.392189327
91084;01.08.2021;1.243501705
91084;01.09.2021;1.04371663182114
91084;01.10.2021;0.9220681334709
91084;01.11.2021;0.318006472314193
91084;01.12.2021;0.0616358764406062
91084;01.01.2022;0.223207091489282
91084;01.02.2022;-0.10673817676224
91084;01.03.2022;-0.144439509633056
91084;01.04.2022;-0.265622152419797
91084;01.05.2022;-0.364826854282305
91084;01.06.2022;-0.702043961537595
91084;01.07.2022;-0.834286199496258
91084;01.08.2022;-0.505984661885646
91084;01.09.2022;-0.3144209437976
91084;01.10.2022;-0.391226943937146
91084;01.11.2022;-0.794078236658376
91084;01.12.2022;-0.817975576643949
91084;01.01.2023;-0.480049268448537
91084;01.02.2023;-0.273628107742536
91084;01.03.2023;0.0840832581336721
91084;01.04.2023;0.00114222133842142
91084;01.05.2023;0.496998797214917
91084;01.06.2023;0.641249873820179
91084;01.07.2023;0.462942009337296
91084;01.08.2023;0.60811180087446
91084;01.09.2023;0.243075136357314
91084;01.10.2023;0.425871867856003
91084;01.11.2023;0.848449821584231
91084;01.12.2023;0.460260068853364
91084;01.01.2024;0.906250853613036
91084;01.02.2024;0.862085588528884
91084;01.03.2024;0.943880220956826
91084;01.04.2024;1.42821001374225
91084;01.05.2024;1.31947781230474
91084;01.06.2024;1.27893975748722
91084;01.07.2024;1.80435470616046
91084;01.08.2024;1.51100523453491
